#Id Teff err [Fe/H] err Mv err age/Gyr err mass/Msun err logg err R/Rsun err B-V/mag err 
hd1100 4806 44 -0.05 0.03 2.024 0.280 4.872 1.598 1.255 0.120 3.033 0.089 5.470 0.667 1.026 0.016 
hd1293 5110 28 -0.45 0.01 2.376 0.361 4.577 1.371 1.172 0.103 3.314 0.092 3.824 0.537 0.900 0.009 
hd1384 4935 62 0.37 0.03 2.949 0.265 3.622 0.808 1.430 0.108 3.520 0.094 3.335 0.443 1.007 0.030 
hd1502 5007 40 0.02 0.03 2.339 0.259 2.733 0.558 1.518 0.109 3.352 0.085 4.165 0.515 0.953 0.016 
hd2946 5437 20 -0.23 0.01 2.429 0.275 2.802 0.626 1.421 0.114 3.576 0.095 3.104 0.466 0.799 0.006 
hd3458 5199 22 -0.01 0.01 0.996 0.492 1.084 0.382 2.069 0.252 3.167 0.150 6.018 1.409 0.876 0.007 
hd4313 4925 33 0.09 0.02 2.146 0.226 2.527 0.524 1.580 0.111 3.232 0.072 4.883 0.527 0.986 0.014 
hd4395 5575 18 -0.14 0.01 2.807 0.140 3.478 0.528 1.333 0.048 3.703 0.048 2.589 0.180 0.759 0.005 
hd4917 4769 50 0.12 0.02 2.409 0.245 5.459 1.614 1.245 0.106 3.145 0.089 4.790 0.538 1.054 0.019 
hd5891 4832 26 -0.30 0.02 1.120 0.660 5.692 2.605 1.152 0.158 2.509 0.183 9.587 2.053 1.002 0.009 
hd6019 5055 11 -0.49 0.01 2.096 0.244 4.675 1.163 1.159 0.085 3.132 0.062 4.690 0.490 0.915 0.004 
hd6030 4936 28 -0.02 0.01 2.653 0.246 4.082 0.829 1.324 0.082 3.372 0.074 3.805 0.400 0.977 0.011 
hd6628 5109 129 -0.27 0.09 2.513 0.187 4.890 1.873 1.185 0.134 3.282 0.111 3.993 0.423 0.934 0.032 
hd7530 5051 18 -0.28 0.01 2.340 0.449 4.232 1.292 1.237 0.115 3.370 0.108 3.686 0.616 0.923 0.006 
hd7931 4827 50 0.10 0.02 2.458 0.205 4.701 1.188 1.294 0.097 3.206 0.080 4.553 0.443 1.033 0.017 
hd7980 4724 47 0.10 0.03 2.018 0.196 4.779 1.336 1.293 0.108 2.973 0.077 5.953 0.563 1.072 0.020 
hd8375 5244 22 -0.03 0.01 2.520 0.048 2.389 0.088 1.581 0.021 3.494 0.018 3.619 0.096 0.863 0.007 
hd8407 5013 29 -0.24 0.02 2.847 0.196 5.322 1.212 1.167 0.075 3.396 0.065 3.473 0.309 0.938 0.010 
hd8508 4819 33 -0.28 0.02 1.617 0.255 5.207 1.780 1.175 0.117 2.828 0.085 6.706 0.808 1.009 0.012 
hd9156 5049 26 -0.07 0.03 1.455 0.512 1.204 0.477 2.007 0.289 2.944 0.208 7.661 2.357 0.937 0.009 
hd9218 4807 36 -0.15 0.02 2.099 0.209 6.132 1.836 1.153 0.098 2.992 0.070 5.497 0.525 1.019 0.014 
hd9313 4928 33 -0.02 0.02 2.595 0.178 3.963 0.736 1.334 0.076 3.324 0.063 4.036 0.329 0.982 0.012 
